Course Name,Folder on Disk,Course URL,Field ,Name of the University/Institute,Introduction
A tecnologia da produção musical ,tecnologia-producao-musical,https://coursera.org/learn/tecnologia-producao-musical,Arts and Humanities,Berklee College of Music,"Aprenda sobre o processo de produção musical (inclusive sobre gravação, edição e mixagem) e conheça as ferramentas disponíveis para criação de música contemporânea no computador.

Devido à recente disponibilidade de softwares e hardwares de alta qualidade e baixo custo, agora as ferramentas de produção musical estão ao alcance de todos. Os álbuns deixaram de ser criados apenas em estúdios, agora também são criados em quartos. À primeira vista, isso é libertador. Qualquer pessoa pode criar um álbum por um custo bem baixo, basta comprar alguns equipamentos e um pacote de software. Mas, se você for mais a fundo, verá que não é tão fácil assim. É preciso conhecimento, dedicação e criatividade para produzir música.
    
Fornecer conhecimento é o propósito deste curso. Não importa o tipo de música que você está produzindo, há um grande conjunto de ferramentas que você precisará usar.  Cada lição deste curso demonstrará um conjunto diferente de ferramentas de produção musical, seguindo vagamente o processo da produção musical de gravar, editar e mixar. 

Vamos começar com algumas noções sobre a natureza do som e como o percebemos. Em seguida, vamos analisar os componentes necessários para gravar áudio em um computador, para que você compreenda os dispositivos pelos quais o som precisa se deslocar em um processo de produção musical. 
    
Depois de gravado, o som precisa ser organizado em uma linha de tempo, um processo conhecido como edição. A edição nos permite dar a impressão de execuções perfeitas e criar muitos dos sons que ouvimos na música contemporânea. A ferramenta de edição contemporânea é a estação de trabalho de áudio digital (DAW, Digital Audio Workstation), um software que armazena e organiza todos os recursos de um projeto musical. Vamos focar as ferramentas de edição que são essenciais na produção de música contemporânea e que são fornecidas por todas as DAWs. 

Após a edição, os sons devem ser combinados ou mixados, por isso vamos analisar a mesa de mixagem, que pode ser um local muito criativo se você souber usá-la. Vamos explorar as funcionalidades básicas das mesas de mixagem em hardware e software, inclusive volume, panning, mudo, solo, barramentos, inserções, envios e submixagens. O processo de mixagem, no entanto, engloba mais ferramentas do que a mesa de mixagem fornece. O som também deve ser processado, ou seja, modificado de modo a fazer com que seu estado gravado se enquadre no contexto da música. Vamos analisar a compressão, a equalização e o retardo, além de examinar os muitos efeitos de áudio que são extensões desses dispositivos e como eles são usados em um contexto musical.
    
No fim das contas, o processo de produção musical depende da sua criatividade. A criatividade é um produto da mente, e ela permanece armazenada ali, sem ser expressada, até que as ferramentas certas são usadas da maneira certa para compartilhá-la com o mundo. Se você tem uma ideia em mente, precisará passar por inúmeras etapas, cada uma com uma ferramenta importante, para chegar ao seu público. Traga a dedicação e criatividade para este curso, que ele fornecerá o conhecimento para fazer acontecer."
Age of Cathedrals,age-of-cathedrals,https://coursera.org/learn/age-of-cathedrals,Arts and Humanities,Yale University,"An introduction to some of the most astonishing architectural monuments the world has ever known—Gothic cathedrals.  We shall study the art, literature, intellectual life, economics, and new social arrangements that arose in the shadow of the cathedrals and that were such an important part of the revival of cities in the twelfth and thirteenth centuries.  The goal of the course is a better appreciation of the High Middle Ages, a world that is still recognizably our own."
"Coexistence in Medieval Spain: Jews, Christians, and Muslims",coexistence-in-medieval-spain,https://coursera.org/learn/coexistence-in-medieval-spain,Arts and Humanities,University of Colorado System,"This course explores Jewish, Christian, and Muslim intercultural relations in Iberia from the Visigothic era (6th century CE) until the creation of Queen Isabel I and King Ferdinand II Catholic Spain (late 15th century). We evaluate the many identities of the peninsula known as Christian Hispania, Jewish Sefarad, and Islamic al-Andalus. We trace the origins and trajectory of conflict between these communities (the Muslim conquest of Spain, Christian Reconquista, prohibitions blocking intermixing of peoples, and expulsions). We aim to understand conflicts within communities as well, such as the tensions between Christian Arian Visigoths and native Catholic Iberians or the fundamentalist North African Almohad Dynasty that rejected the Spanish Umayyad Caliphate’s preference for religious tolerance. We delve into an appreciation of collaboration and coexistence among these communities. We explore the unique role of the Jewish community who Muslims and Christians depended upon as political and cultural intermediaries as well as their intellectual collaborators. We find the history of how peoples attempted to create and manage viable diverse communities. As we study this history, the Honors Track will employ an investigative process (“The Historian’s Craft”) that involves viewing, reading, analyzing, and reflecting on events, peoples, places, and artifacts."
Exploring Beethoven's Piano Sonatas Part 3,exploring-beethoven-piano-sonatas-3,https://coursera.org/learn/exploring-beethoven-piano-sonatas-3,Arts and Humanities,Curtis Institute of Music,"Welcome to Part 3 of Exploring Beethoven&#39;s Piano Sonatas!

I&#39;m delighted to launch another set of new lectures of this course as Part 3. As before, this class is meant for people of all levels of experience with Beethoven&#39;s music (including no experience at all!). Remember that you are able to watch the lectures as many times as you like, at whatever pace is comfortable for you.
As I’ve done with the first two sets of Beethoven lectures, I look forward to meeting with students—online and in person, in various cities. The dates and locations will be posted in the Announcements and Events section, as part of the course content. So please remember to check back there for details. 

In these four new lectures, we will explore the following sonatas: 
• Sonata Op. 10, No. 1
• Sonata Op. 22
• Sonata Op. 31, No. 2
• Sonata Opp. 78, 79, 81a"
Fashion as Design,fashion-design,https://coursera.org/learn/fashion-design,Arts and Humanities,The Museum of Modern Art,"Among all objects of design, our clothes are the most universal and intimate. Like other kinds of design, fashion thrives on productive tensions between form and function, automation and craftsmanship, standardization and customization, universality and self-expression, and pragmatism and utopian vision. It exists in the service of others, and it can have profound consequences—social, political, cultural, economic, and environmental.

Fashion as Design focuses on a selection of more than 70 garments and accessories from around the world, ranging from kente cloth to jeans to 3D-printed dresses. Through these garments, we’re going to look closely at what we wear, why we wear it, how it’s made, and what it means. You’ll hear directly from a range of designers, makers, historians, and others working with clothing every day—and, in some cases, reinventing it for the future. Studio visits, interviews, and other resources introduce the history and development of each garment and their changing uses, meanings, and impact over time. 

Course Learning Objectives:

Develop critical tools to appreciate and contextualize fashion design—from everyday clothing to couture garments—through many different perspectives. 

Trace the history, development, and impact of garments over time, and explore how they may be reinvented.

Investigate garments through multiple lenses including politics, identity, and economics. 

Understand more about the lifecycle of clothing, from its design and production to its marketing, distribution, and consumption. 

Better comprehend the choices you make about fashion with respect to the visual language of dress, individual and collective identities, and issues such as labor practices, sustainability, and body politics."
Intellectual Humility: Practice,intellectual-humility-practice,https://coursera.org/learn/intellectual-humility-practice,Arts and Humanities,The University of Edinburgh,"We live in a polarised world where all too often people talk past each other. But do you know when to believe what others say? For example, how quick should we be to accept something that someone else tells us is true, and what should we be looking out for when assessing a person&#39;s trustworthiness? Meanwhile, what should we do when we encounter disagreements with people who seem to be our equals? How and when should we adjust our beliefs, and how does the appropriate response vary depending on the evidence? These challenges may be especially important in the arena of religious disagreements. How should we weigh the evidence for and against various theistic and atheistic stances?

Experts in psychology, philosophy, theology and education are conducting exciting new research on these questions, and the results have important, real-world applications. Faced with difficult questions people often tend to dismiss and marginalize dissent. Political and moral disagreements can be incredibly polarizing, and sometimes even dangerous. And whether it’s Christian fundamentalism, Islamic extremism, or militant atheism, religious dialogue remains tinted by arrogance, dogma, and ignorance. The world needs more people who are sensitive to reasons both for and against their beliefs, and are willing to consider the possibility that their political, religious and moral beliefs might be mistaken. The world needs more intellectual humility.

In this course. we will examine the following major questions about applied issues surrounding intellectual humility:
 
•         Should you believe what people say?
•         How should we handle disagreement?
•         What is the role of evidence in resolving religious disagreements?
 
All lectures are delivered by leading specialists, and the course is organised around a number of interesting readings and practical assignments which will help you address issues related to humility in your daily life. 

This course can be taken as a part of a series which explores the theory, the science and the applied issues surrounding intellectual humility. Before, we considered how to define and measure intellectual humility, what intellectual virtue is, whether we are born or can become humble, and what cognition and emotions can tell us about intellectual humility. If you are interested, complete all three courses to gain a broader understanding of this fascinating topic. Look for: 

•        Intellectual Humility: Theory - https://www.coursera.org/learn/intellectual-humility-theory
•        Intellectual Humility: Science - https://www.coursera.org/learn/intellectual-humility-science

Check out our trailer to hear more - https://youtu.be/x_CWjrYxKZU."
Navigate the Music Industry as an Independent Artist,navigate-music-industry-independent-artist,https://coursera.org/learn/navigate-music-industry-independent-artist,Arts and Humanities,Berklee College of Music,"This course shares practical tips and strategies to help you take your first step into launching your career as a musical artist. We’ll cover everything from developing your unique identity as an artist and how to lead a band all the way to planning and recording your first independent record with the help of crowdfunding. 

The course curriculum is modeled from the real-world experience of Leah Waldo (also known as the emerging country artist, Elisa Smith) and features interviews with industry executives, artists, producers, and engineers — all designed to help you navigate the music industry."
"Philosophy, Science and Religion: Philosophy and Religion",philosophy-science-religion-2,https://coursera.org/learn/philosophy-science-religion-2,Arts and Humanities,The University of Edinburgh,"Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ‘pick sides’ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we’ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.

This course, entitled ‘Philosophy and Religion’, is the second of three related courses in our Philosophy, Science and Religion Online series, and in this course we will ask important questions about the age-old debate between science and religion, such as:
 
•  What kind of conflicts are there between religion and science?
•  Does current cognitive science of religion effectively explain away God?
•  If there is a God who has made us so that we can know him, why do some people not believe?
•  Is belief in science also a kind of fundamentalism?
•  What makes us good at getting, giving, or sharing, knowledge? Is this different when it is religious knowledge?

The first course in the Philosophy, Science and Religion series, &#39;Science and Philosophy&#39; was launched early in 2017 and you can sign up to it at any time. The third course —‘Religion and Science’—will be launched early in 2018. Completing all three courses will give you a broader understanding of this fascinating topic. Look for: 

• Philosophy, Science and Religion I: Science and Philosophy https://www.coursera.org/learn/philosophy-science-religion-1/
• Philosophy, Science and Religion III: Religion and Science

Upon successful completion of all three courses, students will:

(1) Understand the main parameters at stake in the current debate between science and religion.
(2) Have some familiarity with the relevant areas of science that feature in the debate—including cosmology, evolution, and the neurosciences—and will have begun to engage with them conceptually.
(3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice.
(4) Have embarked constructively in cross-disciplinary conversations.
(5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.

You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc"
Re-imaging God in Korean Context,god-korean-context,https://coursera.org/learn/god-korean-context,Arts and Humanities,Yonsei University,"This course will be an overview of a development of the theological methods in relation to Korea’s cultural context. Completing the course, the learners can understand cultural influences on the dynamic development of Korean churches and indigenous theology; they can also gain an insight into their own image of God and theological imagination in their own cultural context."
Russian History: from Lenin to Putin,russian-history-lenin-putin,https://coursera.org/learn/russian-history-lenin-putin,Arts and Humanities,"University of California, Santa Cruz","In this course, Peter Kenez, Professor Emeritus at UC Santa Cruz, explains the events of modern Russian history and introduces its most significant actors—from Vladimir Lenin to Vladimir Putin."
Science & Religion 101,science-and-religion-101,https://coursera.org/learn/science-and-religion-101,Arts and Humanities,University of Alberta,"This course examines the nature of both science and religion and attempts to explore the possible relationships between them. The primary purpose is to dispel the popular myth that science and religion are entrenched in a never-ending conflict. As a result, this course argues that if the limits of both science and religion are respected, then their relationship can be complementary.

Topics include: Science and Religion Categories and Foundational Principles, Definitions of Science and Religion, Science-Religion Models and Relationships, Intelligent Design and Natural Revelation, the Galileo Affair, Geology and Noah’s Flood, Evolution and Darwin’s Religious Beliefs, the Modern “Evolution” vs. “Creation” Debate, the Problem of Evil, and Interpretations of the Biblical Accounts of Origins in Genesis 1-11.

The course employs a Constructive Teaching Style in order that students can develop their personal views on the relationship between science and religion and on each of the topics listed above.

St. Joseph&#39;s College is a Catholic, undergraduate, liberal arts college on the University of Alberta campus. It is an independent institution that is affiliated with the University of Alberta."
Stalin and Stalinism in Russian History,stalinism,https://coursera.org/learn/stalinism,Arts and Humanities,National Research University Higher School of Economics,"The course presents the life and deeds of Joseph Stalin, the leader of the Soviet Union from 1924 till 1953. It analyses the reasons for his actions and their results, as well as the causes of his popularity in Russia today. It offers an analysis of the phenomenon of Stalinism and of its significance for Russia and beyond.

In the late 1920s – early 1930s Stalin directed the massive and rapid industrialisation of the country and the forced collectivisation of its agriculture. The industrialisation was based on forced labour, and collectivisation on repression, but both helped to create the material base for the Soviet defence industry. In the late 1930s Stalin unleashed mass terror against the Soviet people, in which millions perished. In his view this helped to rid the country of any potential internal enemies on the eve of the coming war.  

The USSR, together with its allies, won the Second World War, but at the cost of dozens of millions of lives. Stalin was instrumental in creating the post-war order. The system which he created in the 1930s shaped the USSR as it was during his lifetime and for decades after his death. It also influenced the lives of millions of people beyond the Soviet borders. 

The course will enable those who take it to develop an informed understanding of the Stalin era and of the phenomenon of Stalinism."
Thomas Berry的世界观：地球社区的繁荣,diqiu-fanrong,https://coursera.org/learn/diqiu-fanrong,Arts and Humanities,Yale University,"Thomas Berry(1914-2009)是一位研究世界宗教的历史学家，并且很早就对于唤醒对于环境危机的敏感性表达意见。他最知名的研究莫过于他的关于宇宙的“新的故事”，“新的故事”包括了进化科学和传统文化用来创造繁荣的未来。

这门课研究了Berry的一生并且联系到了宇宙之旅的项目之中。我们抽取了他的著作，文章还有以前的讲课录像，都是为了研究Berry的理念，包括了“新的故事”，“伟大的使命”，还有新兴的生态时代。这门课深入地研究了Berry对于宇宙的见解，
定位人类在动态无垠的宇宙中的位置和参与到我们时代的创造工作中。我们会着重研究Berry对于生态，经济，教育，灵魂，艺术时代更新和重塑。

课程的原理：
Thomas Berry是原生的创造性综合性思想家，特别关注于我们全球环境危机的本质。他对于生态危机的回应体现了他的智慧，这回应是在进化论的背景下，应该把人类和科学带到一起。另外，他解释道，我们对于世界宗教的参与的需求也是可以用来解决环境问题。
他从研究宇宙学和宗教传统，并结合两者开始实现。感知到故事作为功能宇宙学的重要性，他开始探索这些故事的广泛影响并且通过传统进行传播，用例子来说明的话，就是仪式，道德和生存之道。"
VR & 360 Video Production,360-vr-video-production,https://coursera.org/learn/360-vr-video-production,Arts and Humanities,Google Daydream Impact,"Welcome to Daydream Impact Virtual Reality (VR) and 360 video production course! Our mission is to give you the skills needed to use VR to advocate for a cause and communicate your mission.

This course will introduce you to Virtual Reality (VR) and 360 video production, guiding you through a step-by-step process to create VR content. To begin, we recommend taking a few minutes to explore the course site and review the material. 

Best of luck as you get started - we hope you enjoy the course, and are successful in using VR to make an impact."
